編號,專案,日期,月,日,星期,是否假日,時長,機位數量,工作性質,花絮,視訊切換,視訊連線,PA音控,大場分小場,導播人數,攝影人數,音控人數,直播人數,機動人數,花絮人數,視訊切換人數,視訊連線人數,人數
1,博思網路進場,2024/1/2,1,2,2,0,4.5,5,進場,0,0,0,0,0,1,4,1,1,1,0,0,0,8
2,博思網路,2024/1/3,1,3,3,0,5,5,直播,0,0,0,0,0,1,4,1,1,1,0,0,0,8
3,奕樂科技,2024/1/10,1,10,3,0,6,3,直播,0,0,0,1,0,1,2,1,1,0,0,0,0,5
4,DTxAWS(進),2024/1/10,1,10,3,0,4,4,進場,0,0,0,0,1,0,0,0,0,4,0,0,0,4
5,DTxAWS,2024/1/11,1,11,4,0,10,4,直播,0,0,0,0,1,1,3,5,1,0,0,0,0,10
6,GOOGLE,2024/1/12,1,12,5,0,3,3,錄製,0,0,0,0,0,0,3,1,0,1,0,0,0,5
7,高星x亞東醫院,2024/1/12,1,12,5,0,6,1,錄製,0,0,0,0,0,0,1,1,0,0,0,0,0,2
8,OPPO (進),2024/1/15,1,15,1,0,4,3,進場,0,0,0,0,0,1,2,0,2,0,0,0,2,7
9,OPPO,2024/1/16,1,16,2,0,7,3,直播,0,0,0,0,0,1,2,0,2,2,0,0,0,7
10,藝力國際x明基佳世達（進）,2024/1/15,1,15,1,0,3.5,0,進場,0,1,0,0,0,0,0,0,0,1,0,1,1,3
11,藝力國際x明基佳世達,2024/1/16,1,16,2,0,13.5,0,錄製,0,1,0,0,0,0,0,0,0,1,0,1,1,3
12,DT x ARM,2024/1/18,1,18,4,0,9.5,3,直播,0,0,0,0,0,1,2,1,1,0,0,0,1,6
13,高星 x 美敦力,2024/1/19,1,19,5,0,6,1,錄製,0,0,0,0,0,0,1,0,0,0,0,1,0,2
14,DT尾牙,2024/1/19,1,19,5,0,5,1,錄製,0,0,0,0,0,0,1,0,0,2,0,0,0,3
15,高星 x 兆勤,2024/1/24,1,24,3,0,6,1,錄製,0,0,0,0,0,0,1,0,0,1,0,1,0,3
16,高星 x 訊舟,2024/1/26,1,26,5,0,5.5,1,錄製,0,0,0,0,0,0,1,0,0,0,0,1,0,2
17,高星 x 優力,2024/1/26,1,26,5,0,6,1,錄製,0,0,0,0,0,0,1,0,0,0,0,1,0,2
18,高星 x 安聯,2024/1/26,1,26,5,0,6,1,錄製,0,0,0,0,0,0,1,0,0,0,0,1,0,2
19,高星 x 合勤,2024/1/31,1,31,3,0,6,1,錄製,0,0,0,0,0,0,1,0,0,1,0,1,0,3
20,拾酷 x GOOGLE尾牙 ＠ 現場四機轉播+花絮,2024/2/2,2,2,5,0,9.5,7,錄製,1,0,0,0,0,1,4,1,0,1,1,0,0,8
21,博渼 x 海盜手遊 ＠現場3+1機直播,2024/2/5,2,5,1,0,6,3,直播,0,0,0,0,0,1,3,2,1,0,0,0,0,7
22,超級好幸福歌友會,2024/2/18,2,18,7,1,14.5,3,直播,0,0,0,0,0,1,2,1,1,0,0,0,0,5
